1600,10,Win,Fail
63,9401,497,86243,59,26214,77,183102,18,17898,0
236,78680,92,640477,28,287594,99,352185,40,401897,1
429,6329,238,181673,17,8449,141,19674,53,19279,0
59,25322,91,824459,121,21786,40,103105,21,30550,1
57,70590,22,185591,133,116856,74,390226,81,32366,0
222,334357,50,9400,111,16985,5,9222,113,323493,1
25,121940,33,213996,18,11490,150,53151,38,22536,0
245,115627,31,535517,412,110430,22,59656,59,69505,1
91,12812,75,8129,236,185185,245,7144,412,21057,0
267,3039,41,35806,115,189017,18,22527,23,56957,1
122,184,96,10543,40,49052,19,134111,69,144178,0
157,254062,50,173432,102,16493,412,208079,498,13704,1
150,49417,81,39522,22,6294,60,15656,432,408099,0
25,867276,254,43344,29,49983,245,47565,10,148189,1
141,179564,40,76474,8,36112,157,437632,236,16397,1
21,43838,38,6218,117,11670,121,20284,92,59397,0
103,137848,111,112977,222,92923,57,46022,133,16547,0
23,42351,16,28937,29,92791,64,8996,105,40045,1
11,59017,412,26685,51,15341,157,220617,150,321258,0
36,10966,25,772724,121,80402,40,6577,202,49121,1
202,23802,17,490016,7,52830,11,81287,111,72001,1
64,25522,18,38418,40,3429,122,63360,1,100016,0
77,548419,245,11507,99,559377,8,1052294,119,642072,1
12,43325,22,244438,134,4753,516,9069,19,87577,0
6,37389,44,32250,29,17117,254,542589,69,45767,0
412,13756,80,94744,37,68028,60,134614,21,6834,0
105,70616,26,6101,96,2547,133,25545,64,107019,0
89,630011,429,1921,102,584500,42,43205,58,47107,0
2,116022,1,49970,141,64536,67,79373,111,176079,1
222,295042,58,33664,245,38576,57,22966,223,173989,0
201,84180,99,54000,81,53054,59,11293,6,4893,1
41,463743,55,410868,143,104080,64,170080,18,42554,0
236,1281,51,662469,16,3498,98,14367,9,784848,1
92,452314,105,38544,117,7750,29,17380,20,412,0
96,14247,106,143862,8,486298,16,13715,86,42315,1
4,124834,16,66340,92,69698,236,14511,60,44428,0
63,91190,222,323762,17,743623,201,177620,254,68768,1
78,57614,2,7140,45,59279,86,3101,202,224593,1
103,18451,54,29088,106,14285,498,50530,25,40389,0
43,133715,99,335084,96,44433,57,29275,102,18541,0
202,36964,110,13387,267,100425,106,12757,141,14500,1
29,44166,26,3031,122,25217,11,137149,43,112892,0
56,7340,202,242028,115,54513,12,211861,58,392016,1
421,38709,497,169818,22,126479,101,84922,92,122602,1
119,1318809,164,19108,12,109445,163,156331,121,53706,0
77,181686,122,475738,74,35215,119,15550,12,30108,0
92,284000,497,24033,38,19300,59,55810,222,246341,1
51,76233,143,347991,50,382831,19,26621,420,13339,1
516,21178,202,231851,37,3593,163,20185,107,47279,0
163,46703,412,118311,9,32415,83,6516,22,25704,0
29,64235,117,27934,99,5751,64,52080,24,23656,1
104,42272,83,7530,134,272180,16,34058,18,19127,1
412,99063,22,84932,59,180371,90,22046,106,133012,0
202,13012,134,13410,85,38070,86,257483,32,8690,1
266,93485,254,46237,21,337792,25,127753,40,10936,0
14,209718,497,5804,18,105641,91,1351007,59,9944,1
37,2466,3,3227,67,158249,121,41794,79,53066,0
122,10586,81,20017,117,77620,90,43612,201,49666,1
53,26091,164,50197,222,41479,31,5240,1,208696,0
89,29981,67,169405,113,1888,136,113268,10,9507,0
50,53474,91,628587,29,6814,412,50896,102,151826,1
17,43998,40,30484,110,11264,57,15028,30,6057,0
117,138565,92,200872,59,8400,67,26003,61,13356,1
15,31605,19,6388,58,187980,245,35107,143,51052,1
82,7192,38,4412,236,28043,497,50418,11,416868,0
96,11230,105,13957,10,1584,421,3035,98,9520,0
516,4727,102,24033,498,119130,12,13692,45,36210,1
150,9254,67,90888,201,152955,11,56044,157,284816,0
82,577863,48,23305,245,10870,22,5070,516,10123,0
59,53901,114,77968,105,16168,141,26256,15,5230,1
21,160422,59,45394,117,26957,75,20024,245,20326,0
6,126417,7,9872,412,35290,62,18722,18,28610,1
141,6758,53,21292,498,10623,91,2715,79,4193,0
17,11952,119,61034,11,560336,34,238494,80,22058,1
79,8137,40,46868,15,56465,245,19510,157,87772,1
10,138988,222,36141,412,55704,24,1725,28,1419,0
23,169682,61,63869,98,77476,22,1645,28,3280,0
76,374667,18,5992,412,20099,54,105468,240,31626,1
202,99541,127,7582,141,77056,43,48448,157,65683,0
75,156611,37,28646,113,72043,238,164564,51,242578,1
99,92519,245,192665,17,49169,19,46301,15,58227,0
21,147994,86,373064,53,40017,77,3584,25,119918,1
56,805332,111,29144,57,9753,67,44151,103,209849,0
58,137106,8,76500,412,205146,110,147688,141,1562,1
114,287686,121,41999,16,18693,42,82952,67,114355,1
131,336973,222,509549,516,252159,107,372974,412,186887,0
19,8909,429,33233,12,24839,58,30226,61,28512,1
516,70277,1,55026,18,24731,141,11855,99,299555,0
61,74025,421,4199,67,12366,19,64418,53,34686,1
63,80608,75,88928,412,22701,111,7115,23,7101,0
45,4269,113,2969,202,29710,54,26506,157,167122,0
121,16263,267,11633,96,16988,98,117280,245,85009,1
78,11641,22,64918,245,14505,113,39264,120,16802,0
157,338931,161,459553,429,15576,412,13368,23,43536,1
432,4186,134,18731,24,19498,23,12084,22,248079,0
222,102667,92,277507,105,39086,1,37268,50,8290,1
31,10739,119,33464,1,6688,122,195822,412,73822,0
25,59118,157,46487,516,3317,60,17245,236,64306,1
55,239525,17,211356,32,5803,21,34805,37,177906,1
14,11535,114,11430,74,90671,64,55832,18,34970,0
57,56153,16,2344,48,36814,134,81751,67,165295,1
115,143438,18,177567,98,8389,24,23218,432,34610,0
58,85876,498,27268,497,113639,134,4668,77,220555,1
516,3828,412,66201,104,75326,121,46348,110,8796,0
133,106725,62,102534,34,5221,40,126757,18,129353,1
222,30182,267,138436,64,135536,75,55644,90,86306,0
113,178936,84,312632,81,106871,58,75657,412,247782,0
4,24928,432,124117,27,152188,498,39961,141,115641,1
92,235697,432,115138,69,5468,81,27749,19,41065,1
79,74722,29,12100,412,79221,61,212091,78,18368,0
202,66502,245,486634,89,15185,12,1501,254,5193,1
30,26246,103,59197,41,30683,31,18373,222,74221,1
16,7375,101,417077,24,547977,498,15259,141,31662,1
113,983739,43,11852,67,229957,134,20202,92,36950,0
245,559297,201,51338,51,7650,62,5680,24,84270,0
98,60072,103,32666,21,138995,11,1979,25,63501,1
64,91326,75,136601,4,7838,267,35890,29,37973,0
12,539635,236,172246,161,93717,60,155955,24,38721,1
222,995670,201,269811,104,52401,69,22496,23,78912,0
99,33604,90,212727,64,37175,110,100846,412,575931,1
157,200103,85,42148,19,49669,18,32646,201,21836,0
24,21751,61,17254,21,975,45,33349,25,217389,1
141,148030,432,38931,114,31561,103,78977,498,27111,1
75,19812,29,39671,134,12785,30,1812,64,72413,0
16,146890,34,471292,110,28577,33,46471,157,143967,0
27,72559,96,24359,117,71964,238,22861,141,41219,1
222,83569,141,20052,236,13720,157,628495,432,11846,0
40,354169,86,77807,56,19190,21,77805,13,159372,1
9,109369,74,611400,3,128639,37,92663,22,320124,1
32,10624,51,13889,53,121471,164,6996,63,157966,0
4,8856,40,28648,80,26238,11,8074,110,9711,1
67,16601,103,483901,131,21987,59,11414,75,3012,0
18,56420,157,65557,111,220769,24,24152,74,84862,0
25,45231,29,14876,56,43948,91,63854,86,40629,1
85,365203,222,61398,24,9707,412,26848,15,204288,1
